#OTU ID	S1_17	S2_17	S3_17	S4_17	S5_17	S6_17	S7_17	S8_17	S9_17	S10_17	S11_17	S12_17	S13_17	S14_17	sum taxonomy
forward_16S_1	158	256	19	12	2	0	58	1066	455	79	7	2	5	74	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;;
forward_16S_2	39	80	2	3	0	0	17	307	130	17	3	0	1	23	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;;
forward_16S_3	71	4	280	12	0	0	100	0	55	4	30	4	56	5	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Arenimicrobium;Arenimicrobium luteum
forward_16S_4	36	54	2	1	1	0	11	279	69	15	2	0	1	17	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;;
forward_16S_5	84	1	202	1	3	4	0	0	4	10	33	28	14	0	Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrosocosmicus;
forward_16S_6	24	3	7	3	171	21	19	0	4	1	3	50	5	2	Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrosocosmicus;
forward_16S_7	22	36	6	2	0	1	10	158	53	9	2	0	0	5	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
forward_16S_8	15	42	1	2	0	0	7	163	53	6	0	1	0	11	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;;
forward_16S_9	14	0	219	9	7	0	3	0	12	4	2	3	7	4	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Arenimicrobium;Arenimicrobium luteum
forward_16S_10	31	1	1	5	0	0	19	104	4	25	30	6	3	10	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
forward_16S_11	30	1	96	2	1	0	39	0	20	0	15	3	17	9	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Arenimicrobium;Arenimicrobium luteum
forward_16S_12	20	18	11	23	0	0	45	29	19	6	12	0	6	14	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;
forward_16S_13	9	9	1	1	1	4	0	58	13	1	2	1	3	92	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
forward_16S_14	13	93	1	3	0	0	6	41	23	8	1	0	1	2	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
forward_16S_15	21	7	22	20	0	0	59	1	3	5	13	0	31	3	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas sp. URHD0085
forward_16S_16	0	10	0	1	2	0	0	0	0	27	0	0	0	122	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium ultimum
forward_16S_17	5	2	0	7	0	0	147	6	2	2	0	0	7	2	Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;
forward_16S_18	15	17	14	41	0	0	64	0	6	6	1	0	4	7	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;;
forward_16S_19	8	10	0	0	0	0	1	35	2	16	1	0	0	100	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
forward_16S_20	25	29	3	11	1	3	34	15	11	16	3	0	2	11	Proteobacteria;Betaproteobacteria;NA;NA;NA;beta proteobacterium FSW05-50
forward_16S_21	9	40	4	13	0	0	11	31	5	29	1	0	4	11	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;Cupriavidus sp.
forward_16S_22	1	69	5	1	0	0	9	40	18	8	0	0	1	3	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
forward_16S_23	0	0	0	0	0	1	0	118	0	0	1	0	0	35	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella;
forward_16S_24	19	2	59	3	1	0	28	0	16	0	8	2	12	2	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Arenimicrobium;Arenimicrobium luteum
forward_16S_25	41	0	61	0	1	0	0	0	1	6	18	12	6	1	Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrosocosmicus;
forward_16S_26	6	0	0	0	107	6	13	0	0	0	0	5	2	0	Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae;Candidatus Udaeobacter;Candidatus Udaeobacter copiosus
forward_16S_27	27	2	17	15	7	0	18	2	16	12	14	2	0	2	Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;Corallococcus;
forward_16S_28	11	17	0	1	0	0	7	65	27	2	1	0	0	2	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;;
forward_16S_29	0	42	0	0	0	0	1	65	0	11	0	0	0	10	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;;
forward_16S_30	34	0	29	0	28	0	0	0	4	0	6	9	17	0	Verrucomicrobia;Spartobacteria;;;;
forward_16S_31	8	14	5	21	7	0	25	11	8	11	6	0	3	4	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;;
forward_16S_32	3	11	0	3	1	0	3	67	21	9	0	0	0	5	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;;
forward_16S_33	5	1	7	0	36	46	6	0	1	2	1	2	7	1	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;
forward_16S_34	16	16	4	17	17	2	16	15	2	3	4	0	0	2	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;;
forward_16S_35	8	28	11	21	6	2	14	1	1	1	8	7	2	4	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;;
forward_16S_36	35	0	8	5	13	20	2	2	1	1	13	9	4	0	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_37	13	1	49	5	0	0	23	0	5	0	4	0	10	2	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Arenimicrobium;Arenimicrobium luteum
forward_16S_38	10	1	5	21	0	0	62	0	2	0	5	0	3	3	Planctomycetes;Planctomycetia;Planctomycetales;;;
